collegetier,par_mean,kid_mean,k_q1,k_q2,k_q3,k_q4,k_q5
2,535431.0616,97621.93063,0.1025959,0.073358491,0.072832748,0.13785817,0.61335468
2,285792.7961,61132.69009,0.10333501,0.14222671,0.15402883,0.19372131,0.40668818
2,315701.2563,96732.57598,0.083879434,0.059589371,0.05795718,0.12326361,0.67531043
2,433526.4192,100407.6708,0.081560016,0.06726937,0.073081791,0.17139913,0.60668963
2,424390.8492,109114.2278,0.08535827,0.074408166,0.055177927,0.15035369,0.63470191
2,370117.2958,97349.79678,0.078987285,0.074794754,0.085015446,0.15815389,0.60304868
2,291786.1472,73766.48395,0.11534472,0.083969273,0.11026211,0.17928329,0.51114053
2,371959.1669,70264.8524,0.073322043,0.12396061,0.10963356,0.19166188,0.50142193
2,274137.7702,60050.61807,0.088609301,0.13554491,0.13030747,0.24333952,0.4021987
2,468122.3333,99998.15365,0.084209681,0.083343312,0.11712813,0.17894444,0.53637445
3,117250.8662,78401.14824,0.082781859,0.072408572,0.079424821,0.16891037,0.59647441
3,167040.6807,62756.05671,0.087424845,0.082709014,0.12168007,0.24276069,0.46542546
3,138417.319,94103.60995,0.066972658,0.039812557,0.066730112,0.11469568,0.71178901
3,173282.7882,93211.1913,0.07133162,0.050478578,0.058506228,0.12688598,0.69279766
3,101146.0309,64946.66758,0.10401418,0.10999331,0.13111867,0.16716817,0.48770586
3,127850.7477,53883.83669,0.097405821,0.10714608,0.12636092,0.2492651,0.4198221
3,124831.8424,69147.00912,0.089410305,0.083677143,0.09865021,0.19977596,0.52848643
3,120864.9843,59733.86832,0.07024201,0.070545666,0.11390025,0.3183524,0.42695969
3,91836.97617,65407.7277,0.096780173,0.084367022,0.092209399,0.18417588,0.54246753
3,164709.1155,73997.09468,0.11240903,0.079892471,0.083346546,0.19734216,0.52700984
3,194452.1916,93578.78177,0.096670501,0.080378316,0.082178339,0.14201778,0.59875512
3,121501.6514,68174.46898,0.10445037,0.08454296,0.090061702,0.17779046,0.5431546
3,176468.6574,79191.14699,0.096262582,0.074995309,0.084669024,0.15955675,0.58451635
3,192472.4304,71105.52185,0.098488189,0.091905512,0.10086505,0.17617479,0.53256643
3,140206.5862,67043.86178,0.074682295,0.079019561,0.10123381,0.23119001,0.51387429
3,148204.8041,71790.42896,0.095850438,0.087862715,0.10051603,0.20683217,0.50893867
3,191466.4122,63774.07799,0.11017156,0.099954233,0.12100516,0.23675688,0.43211222
3,142851.4173,74004.48435,0.084956065,0.075588033,0.099329859,0.20118202,0.53894401
3,126294.8041,62048.21982,0.087676242,0.094905868,0.11550979,0.22637755,0.47553062
3,267630.7744,94755.62739,0.083133832,0.073305011,0.08391054,0.16055398,0.5990966
3,127788.9312,60404.03143,0.074902281,0.094121903,0.14769897,0.2695154,0.41376141
3,115736.893,57692.26025,0.084054589,0.094053984,0.1456452,0.25548843,0.42075783
3,195837.4899,78687.06788,0.10155523,0.084527612,0.097897187,0.19729319,0.51872683
3,128479.3366,68956.8359,0.10019414,0.088897422,0.095814988,0.2012966,0.51379687
3,125883.2437,51945.1303,0.075073555,0.10828184,0.1768302,0.30329788,0.3365165
3,160204.6999,70050.93191,0.077313423,0.072003372,0.092054591,0.1994247,0.55920398
4,148536.1146,45756.53516,0.13175504,0.15667561,0.19311041,0.23435101,0.28410792
4,305748.2662,67366.26089,0.10905255,0.088691443,0.079618201,0.18900143,0.53363645
4,148707.0913,63057.76113,0.072815835,0.072863668,0.12049477,0.26550877,0.46831697
4,152914.6209,65116.54269,0.096770272,0.085452735,0.13374992,0.26826426,0.41576281
4,292542.2134,134523.3345,0.084778264,0.054871149,0.0369379,0.084730126,0.73868251
4,340615.728,39956.82317,0.14866896,0.21420226,0.16966711,0.20093904,0.26652268
4,215777.8602,65545.43303,0.13394131,0.10500055,0.10459262,0.21424875,0.44221681
4,178407.6344,45793.13653,0.10927857,0.12632947,0.18429224,0.27270284,0.3073968
4,167420.2528,28348.72713,0.19450402,0.26863712,0.21250093,0.18347938,0.14087862
4,188624.286,94070.97602,0.077160239,0.043110732,0.054541774,0.11334568,0.71184158
4,262524.4335,76565.23104,0.093526468,0.083324052,0.090477452,0.17458037,0.55809164
4,192429.8266,65580.23924,0.10100044,0.096478611,0.11795148,0.26911026,0.41545916
4,233063.9002,55754.45067,0.11376916,0.12755314,0.14152712,0.18838084,0.42876974
4,176605.0442,54148.01217,0.087623537,0.10861725,0.13392951,0.24931389,0.42051584
4,344930.6795,54567.30793,0.11027953,0.12134732,0.16252436,0.22925447,0.37659431
4,271317.6188,68293.81575,0.073072471,0.093356788,0.12504427,0.24461125,0.46391523
4,279506.9335,67280.73159,0.082896695,0.084312856,0.11149199,0.2328307,0.48846781
4,269743.9892,56824.35237,0.097936541,0.093794622,0.14199446,0.27274412,0.39353025
4,219301.8474,53392.92838,0.10611778,0.14544432,0.15627795,0.20424341,0.38791659
4,187958.381,80400.70418,0.091349877,0.090631105,0.090464786,0.15815672,0.56939757
4,290693.5642,61112.92318,0.11799438,0.10472104,0.12753864,0.23003666,0.41970924
4,282178.1203,72430.93519,0.087448299,0.068894476,0.1105925,0.2040804,0.52898437
4,202273.4586,63900.04498,0.091422677,0.086973697,0.12037431,0.20605166,0.49517766
4,187666.0393,57211.90311,0.090398118,0.11286982,0.14293915,0.26010314,0.39368981
4,166242.1424,65684.32145,0.064804271,0.089116305,0.11739494,0.25456581,0.47411871
4,254318.3371,37753.90306,0.14102262,0.20590535,0.2090067,0.22443359,0.21963173
4,135000.9219,47781.1875,0.11850318,0.11298673,0.17427507,0.29309571,0.30113938
4,112794.7827,77847.72805,0.069692075,0.055384651,0.086603396,0.12271927,0.66560066
4,190235.5242,72216.70115,0.056787185,0.0840168,0.11363523,0.21891913,0.52664173
4,190716.3059,67802.98157,0.086901873,0.093760759,0.13786715,0.22192168,0.45954859
4,118244.3909,85388.95225,0.041676506,0.025981788,0.038299821,0.091929115,0.80211282
4,132051.7696,51398.62115,0.07860969,0.11714844,0.18941692,0.27949303,0.33533195
4,190990.8303,51106.66516,0.094320476,0.12324485,0.14549798,0.30506229,0.33187446
4,156686.2438,66501.64181,0.10756095,0.091102093,0.10984856,0.21230462,0.47918379
4,246805.2241,87061.61625,0.074604161,0.069812953,0.06940417,0.16717021,0.61900854
4,182145.9227,50717.32787,0.10117561,0.13517554,0.15071009,0.27159196,0.34134674
4,208558.6515,78047.21898,0.066018626,0.065445751,0.099938609,0.21571046,0.55288649
4,124040.1779,73211.0197,0.051234428,0.034069367,0.070864074,0.16460596,0.67922616
4,194481.1162,54597.66401,0.099551037,0.10073821,0.13933536,0.24388269,0.41649276
4,268464.8323,73782.81092,0.080184788,0.074626982,0.092992499,0.20833099,0.54386467
4,169872.4049,70815.75444,0.07438527,0.083269596,0.097507678,0.18390724,0.56093013
4,371031.0396,74970.85492,0.13899854,0.10666357,0.094987281,0.16710052,0.49225008
4,434121.4144,51976.01988,0.12571022,0.15501504,0.13455847,0.23564841,0.34906781
4,210190.8956,79750.64822,0.066436239,0.058369007,0.077471472,0.17608005,0.62164325
4,188020.0569,67503.00812,0.070729032,0.072095998,0.10394827,0.2013357,0.55189109
4,327167.9163,69649.47652,0.10570268,0.10979512,0.11854403,0.2100886,0.4558695
4,360844.4678,60022.00293,0.14712408,0.14417557,0.13611618,0.19842607,0.37415808
4,199485.1322,60742.66053,0.078955188,0.10957284,0.13172129,0.26355207,0.41619861
4,327182.7915,91531.37011,0.099994488,0.06402798,0.070528187,0.13467148,0.63077784
4,311431.3333,38304.2487,0.17144412,0.18458927,0.17816597,0.20674534,0.25905529
4,396263.5642,67046.8505,0.10725737,0.12828133,0.12468231,0.21271203,0.42706704
4,204870.167,52391.74415,0.10738239,0.12711042,0.14598517,0.23255031,0.38697171
4,493450.6777,79414.87407,0.12958485,0.10793521,0.093863294,0.17189056,0.49672619
4,216905.4959,62219.777,0.079925373,0.10536993,0.11778696,0.23654759,0.46037006
4,182242.6578,41006.50868,0.15908934,0.18575978,0.19192055,0.19163847,0.27159184
4,184452.8576,64926.40728,0.085183874,0.081204414,0.13206774,0.28485787,0.41668606
4,122522.1018,95753.71152,0.063341349,0.028239012,0.043143626,0.069885045,0.79539096
4,231041.5666,73173.13991,0.080853291,0.086805329,0.09226954,0.18884012,0.55123174
4,254114.7662,68182.57655,0.116917,0.10325564,0.10302677,0.21470752,0.46209311
4,504456.0521,89948.47917,0.095928401,0.082795933,0.085234255,0.15207264,0.5839687
4,275796.9857,75491.33242,0.096322387,0.085282393,0.096879594,0.20241725,0.5190984
4,290078.2197,83839.20732,0.095017165,0.064140297,0.071471587,0.18119174,0.58817923
4,231485.9523,61003.6763,0.1084007,0.090702206,0.13525599,0.20964114,0.45599997
4,315023.0208,72549.47917,0.10875194,0.10578719,0.09027715,0.17894775,0.51623607
4,353212.4573,62227.96537,0.10880955,0.096262395,0.13289854,0.2421643,0.41986519
4,149613.9027,62311.75483,0.11414805,0.11708011,0.12972021,0.23664871,0.40240291
4,293421.677,57369.46192,0.12883653,0.13214144,0.14840069,0.20814154,0.38247985
4,214708.2362,59152.49451,0.10412799,0.11618335,0.12671059,0.26549208,0.38748592
4,241328.009,56515.90418,0.161089,0.14301556,0.13344695,0.20238991,0.36005855
4,243617.1732,72103.5829,0.097072139,0.087713934,0.093324766,0.22660586,0.49528337
4,138955.7573,102151.2896,0.059810065,0.049370937,0.050049912,0.093148798,0.74762034
5,76121.81634,38010.81341,0.12124767,0.15907787,0.24386188,0.27226484,0.20354776
5,57659.15269,37065.25163,0.11468282,0.17586538,0.24503741,0.25806373,0.20635071
5,54718.25916,34497.28754,0.093914047,0.18369989,0.28970152,0.28861758,0.14406691
5,79315.0784,44097.48286,0.11001858,0.13331664,0.20153189,0.28175694,0.27337602
5,139395.6926,44408.51292,0.096532002,0.12475155,0.20695513,0.30189735,0.26986393
5,178288.5777,58584.02084,0.11456618,0.10931805,0.14006484,0.23398922,0.40206179
5,74970.92898,39836.68372,0.12105051,0.15839617,0.23648427,0.27505124,0.20901793
5,76237.43459,40091.98048,0.1151599,0.16609219,0.2194005,0.28702876,0.21231866
5,88486.62059,37495.44288,0.13185161,0.16963851,0.21120043,0.27627012,0.21103922
5,194404.8583,59378.07793,0.11022953,0.10340791,0.13161582,0.2465331,0.4082137
5,84780.36575,38542.14011,0.11384244,0.13885111,0.237156,0.29896027,0.21119022
5,83845.63543,37157.31942,0.13048905,0.17065562,0.22994362,0.2802183,0.18869342
5,111459.0097,44329.07446,0.090817869,0.12093019,0.20074844,0.32830912,0.25919434
5,101333.0935,48812.65657,0.079670653,0.09655939,0.15044087,0.33292937,0.34039974
5,60400.96442,29678.15622,0.18078138,0.22287224,0.22365478,0.2242692,0.14842252
5,94480.98082,38199.34834,0.14170159,0.17971253,0.23047018,0.24140969,0.20670602
5,114765.6495,46836.06727,0.081742629,0.10906939,0.19244218,0.32105443,0.29569137
5,107859.3629,46548.66707,0.085820988,0.11405824,0.16484162,0.28594562,0.34933358
5,66249.87845,69068.9166,0.09679132,0.095457047,0.096581832,0.18941791,0.52175194
5,81701.99678,53799.11341,0.15215319,0.12947549,0.12751123,0.19448091,0.39637917
5,74827.43685,47546.28142,0.13004062,0.12550251,0.14195134,0.23398094,0.36852458
5,56952.99519,49034.96504,0.10689215,0.1068457,0.14799741,0.25971916,0.37854564
5,45762.72522,42720.6243,0.11072759,0.13234736,0.16998613,0.29131699,0.29562196
5,44877.50819,34179.56223,0.118123,0.21942367,0.21721564,0.27195084,0.17328684
5,93543.63791,55617.20726,0.1413482,0.12262402,0.12133038,0.18876931,0.425928
5,46950.67207,40589.20853,0.12935716,0.14523664,0.19698973,0.30141157,0.227005
5,132454.2234,89270.23137,0.072683036,0.039542455,0.085179627,0.08295989,0.71963501
5,169835.7176,76443.30962,0.092857525,0.078071579,0.084532671,0.15613963,0.58839852
5,98379.03405,58449.62114,0.098040767,0.088633329,0.11370517,0.20493844,0.49468231
5,107518.9904,51314.20331,0.10516208,0.10599202,0.13573089,0.25611514,0.3969999
5,84211.55416,47321.12536,0.12371753,0.11167395,0.14953656,0.22822122,0.38685071
5,150534.7388,56332.84072,0.10934897,0.11399713,0.1272981,0.22189051,0.42746523
5,57771.22737,42627.00179,0.1050539,0.14229245,0.1837887,0.28134745,0.28751746
5,104528.7794,55258.10369,0.10568843,0.10614551,0.11890747,0.22206342,0.44719511
5,93996.48605,50156.2507,0.10998976,0.12591046,0.15024458,0.25521249,0.35864279
5,103739.6362,52188.20571,0.11930496,0.10531011,0.13016248,0.24199739,0.40322509
5,116773.1328,53931.90846,0.10102372,0.11234149,0.13831586,0.23396429,0.41435462
5,52114.62349,44225.55413,0.11350263,0.12019542,0.16288969,0.27660733,0.32680506
5,123045.047,44659.59198,0.11770299,0.12061158,0.1880867,0.26292062,0.31067812
5,84829.51677,49244.33341,0.11697734,0.12686794,0.15019515,0.24235083,0.36360878
5,82251.9873,45793.71725,0.11526161,0.12605366,0.16616726,0.24638163,0.3461358
5,128226.3448,50603.34853,0.11749515,0.12343472,0.13773079,0.25960246,0.36173683
5,83972.02921,44836.2289,0.12001148,0.12036228,0.1503804,0.27149147,0.3377544
5,81707.01576,39998.78044,0.098132148,0.13573334,0.20730624,0.3368645,0.22196376
5,62172.31258,36064.18756,0.1375192,0.15594801,0.24072073,0.25931203,0.20649996
5,104581.3845,48401.62635,0.084862009,0.106594,0.15130281,0.29737592,0.35986516
5,112044.4632,46949.26665,0.084461778,0.11648518,0.18342066,0.31722724,0.29840511
5,52515.042,26282.73169,0.13966745,0.27177024,0.27532682,0.21944721,0.09378843
5,115641.1131,47688.64033,0.11237833,0.11603758,0.15081136,0.26822603,0.35254666
5,72584.39897,44111.40316,0.07791689,0.1337871,0.20069593,0.312222,0.27537808
5,49417.09597,29439.46413,0.15917002,0.21722099,0.26047266,0.24808381,0.11505257
5,51843.76085,34210.66294,0.11231355,0.19411246,0.24901074,0.24908805,0.19547519
5,101743.3676,44449.80898,0.10336728,0.099516593,0.18535686,0.3240597,0.28769967
5,146210.8855,66741.61343,0.06727872,0.073409796,0.10336474,0.19337526,0.56257147
5,54008.8998,60889.66356,0.10705575,0.10695908,0.13445841,0.22695638,0.42457035
5,84457.06468,40257.02587,0.10050864,0.13709249,0.21203226,0.34304342,0.20732325
5,85736.66754,37893.74332,0.1253861,0.15857196,0.21411783,0.29313934,0.20878483
5,83517.16677,40609.1226,0.10840766,0.14043444,0.21570408,0.29577452,0.23967926
5,120509.9386,42996.39496,0.096949376,0.13348167,0.22413482,0.29870236,0.24673189
5,208335.5537,49113.89119,0.12511639,0.13421948,0.17079924,0.26398933,0.3058756
5,85456.88344,47236.16373,0.15133718,0.13923976,0.15104228,0.18974262,0.3686381
5,91094.41488,39558.62048,0.1306075,0.17299195,0.20077059,0.24965042,0.24597962
5,167637.0132,54350.63888,0.1011931,0.11561044,0.15121263,0.24788734,0.38409656
5,85255.34115,41554.95313,0.10021345,0.13584195,0.21865249,0.32185757,0.22343457
5,89221.06939,37072.40711,0.12587763,0.1476364,0.22549556,0.30401871,0.19697177
5,75027.8998,35334.11635,0.13043593,0.16840255,0.25794756,0.2763705,0.16684353
5,79019.67969,42214.9974,0.087625332,0.13133162,0.23462658,0.3130531,0.23336327
5,65513.14383,46727.05917,0.084367231,0.13015527,0.1741282,0.30798087,0.30336851
5,120568.6082,46837.72667,0.092714295,0.1104706,0.18298873,0.31938988,0.29443657
5,100663.2459,45244.85884,0.091723658,0.11672749,0.18079337,0.30251905,0.30823648
5,92165.12312,39107.45233,0.12654045,0.16325583,0.240805,0.26432395,0.20507486
5,107254.1607,48756.50395,0.069567949,0.10832385,0.1869728,0.30450135,0.33063406
5,113245.7419,52860.20671,0.085461847,0.094875611,0.16759075,0.31007361,0.34199828
5,81068.46966,36099.16434,0.12183391,0.15969382,0.2446003,0.29234523,0.18152675
5,112188.3546,41832.65336,0.11101003,0.12958492,0.20558707,0.3049098,0.24890816
5,59703.11171,32131.39089,0.17764139,0.19201638,0.24032007,0.23030311,0.15971908
5,88624.77361,41012.79413,0.12698786,0.13234539,0.21287617,0.29110745,0.23668313
5,103225.9917,47043.81128,0.11224128,0.12312455,0.17537603,0.28501219,0.30424607
5,83334.27045,35887.35587,0.10704178,0.15482882,0.25653341,0.31332636,0.16826966
5,44637.21484,32636.5332,0.12075845,0.15936825,0.33237436,0.27349538,0.11400359
5,88528.54329,40396.89581,0.085031323,0.13919523,0.22204353,0.34591904,0.20781098
5,169285.843,39377.09533,0.16808078,0.23140192,0.20767625,0.21640462,0.17643651
5,131569.6545,44520.66074,0.19706789,0.15922128,0.13213685,0.17763306,0.33394089
5,52479.57138,31248.67044,0.11639696,0.21379404,0.29251629,0.25423214,0.12306057
5,96245.50628,47433.32389,0.091355294,0.12796672,0.18736388,0.26349038,0.32982373
5,98777.63547,46073.49229,0.074340157,0.11896422,0.16432928,0.30209097,0.34027541
5,73603.98865,46411.50677,0.093921646,0.13897811,0.20666987,0.26300454,0.29742587
5,121982.2715,45817.91821,0.13458224,0.13252115,0.15462844,0.28068599,0.29758221
5,103619.5079,43469.07603,0.10962434,0.13842314,0.17049351,0.30046672,0.28099224
5,93458.26823,52704.92448,0.10642722,0.11557022,0.1382722,0.2612834,0.37844709
5,139113.5195,55925.90263,0.10241307,0.10844484,0.13436908,0.26418298,0.39059001
5,81363.81813,42354.00798,0.084821604,0.13478047,0.22220096,0.31696102,0.24123576
5,144700.6965,39080.15136,0.12844825,0.17337207,0.22936937,0.24524024,0.22356999
5,55838.20464,34139.17136,0.10170458,0.2076776,0.27287075,0.24628618,0.17146087
5,81505.38386,38398.70995,0.094946384,0.1485019,0.27657562,0.28331473,0.1966615
5,128011.1365,60989.62962,0.10241915,0.087070227,0.10439282,0.1998547,0.50626308
5,112168.4729,43180.22096,0.10456787,0.12302522,0.18365116,0.3425855,0.2461701
5,108631.12,44646.65927,0.10096179,0.12098597,0.18996041,0.30783626,0.2802555
5,80580.12965,38792.12922,0.10403144,0.1292174,0.23821937,0.33056024,0.19797166
5,108764.681,44073.23457,0.12405466,0.14117122,0.18173781,0.26748887,0.28554741
5,59424.31324,38045.20562,0.17021717,0.18134569,0.20084342,0.24305525,0.20453846
5,47434.05128,37528.77134,0.087701499,0.21324354,0.27592039,0.25428414,0.16885045
5,112227.0293,45728.28552,0.09331356,0.12125005,0.18715215,0.30378273,0.29450148
5,79010.00388,40652.34253,0.10051535,0.13280126,0.23418286,0.30917406,0.22332647
5,126254.5199,38719.98498,0.14011642,0.17019939,0.18694577,0.24040908,0.26232934
5,78972.44551,36676.81103,0.16601335,0.19389507,0.21358116,0.21488306,0.21162732
5,122562.728,54205.73742,0.078427985,0.090469733,0.12709308,0.30482185,0.39918733
5,97236.30837,42100.95629,0.095910579,0.13519883,0.22666942,0.30741674,0.23480454
5,88550.92967,41936.56807,0.1048235,0.12859672,0.2063697,0.30132467,0.25888544
5,149041.6162,50849.82359,0.10807659,0.13675916,0.18900163,0.25533625,0.31082645
5,120476.7901,59765.0787,0.071188971,0.081027374,0.12994243,0.26346171,0.45437941
5,50561.0942,34712.54265,0.080176875,0.18717955,0.30087894,0.27410671,0.15765789
5,76855.89479,35482.28206,0.12341137,0.16204645,0.23045319,0.31663898,0.16745001
5,173973.1364,65469.15602,0.087177634,0.087771788,0.099209771,0.22373125,0.50210953
5,118400.4989,54335.87408,0.090200402,0.10367032,0.1517469,0.27032116,0.38406122
5,89084.32862,47872.80197,0.099766381,0.10778111,0.14392982,0.27869949,0.36982313
5,121387.9032,44113.02474,0.086553492,0.11954918,0.18682377,0.33463794,0.27243561
5,117402.3434,40928.10581,0.1424073,0.15292041,0.18423867,0.27025533,0.25017828
5,94457.12201,40439.63673,0.10828304,0.15237522,0.21397203,0.29146054,0.23390926
5,61212.63743,32159.07347,0.10451794,0.20953998,0.29438502,0.26546201,0.12609509
5,104947.7908,44412.1127,0.086949684,0.11897217,0.17153245,0.34066126,0.28188443
5,88844.06647,39689.31482,0.098374695,0.14643799,0.23937091,0.28461829,0.23119819
5,85448.26247,46999.14489,0.12332927,0.13810617,0.16963616,0.24998853,0.31893981
5,97607.6346,37595.09568,0.09419395,0.15345377,0.24318574,0.33407384,0.17509273
5,55501.56557,31279.51164,0.14609273,0.23587626,0.29578841,0.20857382,0.11366867
5,77156.067,36762.16206,0.13679372,0.15964074,0.26792315,0.25757629,0.17806618
5,59247.74072,39207.57014,0.11708714,0.14227068,0.21402861,0.28081217,0.24580142
5,84484.89042,41677.29739,0.0738452,0.11872666,0.2288647,0.34681267,0.23175079
5,124142.6006,45639.82162,0.094447955,0.084556289,0.17769229,0.36813799,0.27516556
5,79906.84337,40715.20453,0.14212117,0.13671826,0.21711987,0.26864439,0.2353963
5,127727.5356,57413.20401,0.11183837,0.11932924,0.15423398,0.23886713,0.37573129
5,99553.14424,51662.01203,0.10769688,0.12344415,0.16127153,0.26884598,0.33874148
5,105901.4885,91331.5345,0.073072888,0.057112943,0.07940729,0.13452128,0.65588558
5,78837.64737,40327.86707,0.098813124,0.14152184,0.21909356,0.3236042,0.21696734
5,92498.5931,41528.67147,0.13386248,0.15236861,0.20848832,0.26394647,0.24133405
5,94130.05305,40879.06279,0.083908096,0.15901504,0.23134947,0.31116241,0.21456486
5,148180.0617,92945.79612,0.047647305,0.044401471,0.068661317,0.10332987,0.73596007
5,74993.64929,41996.5863,0.085906915,0.10741035,0.25128058,0.31866115,0.23674095
5,86315.25513,43302.93998,0.12687761,0.15344688,0.20779762,0.24764958,0.26422819
5,108589.5505,39496.73918,0.12038293,0.1554216,0.20124029,0.2795383,0.24341692
5,200367.445,65845.76083,0.095388472,0.093588725,0.13602422,0.23400331,0.44099534
5,157147.031,63681.2696,0.08524549,0.087724112,0.12462381,0.23772034,0.46468624
5,117206.9707,68925.34194,0.069665499,0.062444918,0.091739088,0.1700068,0.60614365
